Year,Country,Country Code,CO2 Emissions (kt) ,CO2 Emissions From Gaseous Fuel Consumption (kt) ,CO2 Emissions From Liquid Fuel Consumption (kt) ,CO2 Emissions From Solid Fuel Consumption (kt) ,GDP per Capita (current US$) ,Life Expectancy At Birth-Female (years) ,Life Expectancy At Birth-Male (years) ,Life Expectancy At Birth-Total (years) ,Methane Emissions (kt of CO2 equivalent) ,Nitrous Oxide Emissions (thousand metric tons of CO2 equivalent) ,Population-Female (% of total population) ,Population-Male (% of total population) ,Population-Total ,Total Greenhouse Gas Emissions (kt of CO2 equivalent) 
2010,AUSTRALIA,AUS,387540.01,65136.92,114806.44,206294.42,52087.97,84,79.50,81.70,114900.00,54100.00,49.99,50.01,22031750.00,566440.00
2010,BRAZIL,BRA,397929.99,52702.12,273884.56,58543.66,11286.07,77.378,69.95,73.62,419390.01,166180.00,50.67,49.33,195713637.00,991489.99
2010,CANADA,CAN,537010.01,180251.39,250892.47,86970.24,47562.08,83.5,79.10,81.25,85560.00,37420.00,50.39,49.61,34004889.00,669979.98
2010,CHINA,CHN,8474919.92,199748.82,1093466.40,6574171.93,4550.45,76.566,72.48,74.41,1072780.03,488160.00,48.61,51.39,1337705000.00,10218509.77
2010,GERMANY,DEU,773070.01,173845.14,262982.57,306465.86,41572.46,82.6,77.50,79.99,58060.00,37560.00,50.98,49.02,81776930.00,880159.97
2010,INDIA,IND,1659979.98,100318.12,414257.32,1093532.40,1357.56,67.73,65.72,66.69,623370.00,239140.00,47.97,52.03,1234281163.00,2533989.99
2010,INDONESIA,IDN,415519.99,73791.04,195836.14,129426.77,3122.36,71.311,67.18,69.21,270500.00,80480.00,49.63,50.37,241834226.00,768880.00
2010,JAPAN,JPN,1156479.98,196694.21,511370.48,438848.23,44968.16,86.3,79.55,82.84,30520.00,20080.00,51.09,48.91,128070000.00,1234729.98
2010,MOROCCO,MAR,51760.00,1305.45,34436.80,13234.20,2839.93,75.655,73.05,74.38,10610.00,8070.00,50.70,49.30,32343384.00,70780.00
2010,RUSSIAN FEDERATION,RUS,1617829.96,878440.85,343550.23,394580.20,10675.00,74.88,63.09,68.84,596299.99,53340.00,53.62,46.38,142849468.00,2285030.03
2010,SENEGAL,SEN,7030.00,47.67,4994.45,674.73,1271.58,65.829,62.62,64.28,9510.00,4970.00,51.32,48.68,12678143.00,22100.00
2010,UKRAINE,UKR,268920.01,126540.84,38184.47,135202.29,3078.43,75.5,65.28,70.27,38060.00,19820.00,53.84,46.16,45870741.00,327540.01
2010,UNITED KINGDOM,GBR,482440.00,194259.33,175319.27,116280.57,39688.61,82.4,78.50,80.40,62340.00,29010.00,50.87,49.13,62766365.00,591320.01
2010,UNITED STATES,USA,5392109.86,1275074.57,2166283.92,1911717.11,48650.64,81,76.20,78.54,627739.99,254200.00,50.61,49.39,309327143.00,6427129.88
2011,ARGENTINA,ARG,176640.00,92661.42,86977.57,4726.76,12848.86,78.806,72.00,75.44,115250.00,42600.00,51.33,48.67,41261490.00,350250.00
2011,AUSTRALIA,AUS,386380.00,68525.23,119415.86,199070.43,62574.15,84.2,79.70,81.90,164060.00,107160.00,50.01,49.99,22340024.00,668340.03
2011,BRAZIL,BRA,418310.00,50523.93,289139.28,64165.17,13245.39,77.658,70.27,73.92,418760.01,165610.00,50.69,49.31,197514541.00,1010710.02
2011,CANADA,CAN,549289.98,191146.04,244830.92,77612.06,52223.70,83.6,79.40,81.45,86580.00,40040.00,50.39,49.61,34339328.00,686500.00
2011,CHINA,CHN,9282549.80,246191.38,1124778.91,7315771.34,5614.35,76.926,72.72,74.71,1121239.99,497300.00,48.61,51.39,1345035000.00,11098190.43
2011,GERMANY,DEU,746479.98,159397.16,252417.95,301618.08,46705.90,83.1,77.90,80.44,56150.00,36010.00,50.95,49.05,80274983.00,850460.02
2011,INDIA,IND,1756739.99,91443.98,412508.16,1210839.73,1458.10,68.218,66.12,67.13,629590.03,247020.00,47.98,52.02,1250287939.00,2645629.88
2011,INDONESIA,IDN,475310.00,81620.09,211501.56,184743.46,3643.05,71.69,67.49,69.54,268549.99,83590.00,49.62,50.38,245115988.00,829890.01
2011,JAPAN,JPN,1213520.02,228512.77,526617.87,409761.58,48760.08,85.9,79.44,82.59,30590.00,19300.00,51.10,48.90,127833000.00,1293439.94
2011,MOROCCO,MAR,55940.00,1639.15,36603.99,11474.04,3046.95,75.965,73.37,74.70,11010.00,8440.00,50.67,49.33,32781860.00,75750.00
2011,RUSSIAN FEDERATION,RUS,1699089.97,906948.11,397180.10,400502.41,14311.08,75.61,64.04,69.68,604900.02,56050.00,53.64,46.36,142960908.00,2375290.04
2011,SENEGAL,SEN,7570.00,36.67,5053.13,942.42,1366.77,66.521,63.14,64.90,9730.00,5080.00,51.34,48.66,13033814.00,23090.00
2011,UKRAINE,UKR,283340.00,107303.75,34759.49,139081.98,3704.82,75.88,65.98,70.81,36840.00,22320.00,53.84,46.16,45706086.00,343290.01
2011,UNITED KINGDOM,GBR,445590.00,161109.65,165037.00,114769.77,42284.88,83,79.00,80.95,58800.00,28050.00,50.84,49.16,63258810.00,548390.01
2011,UNITED STATES,USA,5173600.10,1304065.87,2091649.47,1828806.24,50065.97,81.1,76.30,78.64,632760.01,263870.00,50.60,49.40,311583481.00,6229600.10
2012,ARGENTINA,ARG,177960.01,95459.34,85657.45,5012.79,13082.66,78.966,72.15,75.60,118710.00,42070.00,51.31,48.69,41733271.00,355299.99
2012,AUSTRALIA,AUS,386970.00,65430.28,122514.47,195443.77,68027.84,84.3,79.90,82.05,162620.00,106510.00,50.05,49.95,22733465.00,667440.00
2012,BRAZIL,BRA,454230.01,59874.78,309527.80,62944.06,12370.22,77.929,70.56,74.21,421010.01,166610.00,50.71,49.29,199287292.00,1049939.94
